"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Feature - Diario AS proof of concept for Prisa","Scenario - Return to home from a football page","0","0","1","0","0"
"","Feature - Diario AS proof of concept for Prisa","Scenario - Access to a football team news","0","0","1","0","0"
"","Feature - Diario AS proof of concept for Prisa","Scenario - Access to motor league news","0","0","1","0","0"
"","Feature - Diario AS proof of concept for Prisa","Scenario - Share news with Facebook","0","0","1","0","0"
