"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Diario AS proof of concept for Prisa","Share news with Facebook","0","0","1","0","0"
"","Diario AS proof of concept for Prisa","Access to a football team news","0","0","1","0","0"
"","Diario AS proof of concept for Prisa","Return to home from a football page","0","0","1","0","0"
"","Diario AS proof of concept for Prisa","Access to motor league news","0","0","1","0","0"
