"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 23:55:03 GMT 2022","Sat Oct 15 23:55:28 GMT 2022","25490","","Diario AS proof of concept for Prisa","","Share news with Facebook","","Share news with Facebook",""
"passed","Sat Oct 15 23:53:17 GMT 2022","Sat Oct 15 23:54:10 GMT 2022","52201","","Diario AS proof of concept for Prisa","","Access to a football team news","","Access to a football team news",""
"passed","Sat Oct 15 23:54:10 GMT 2022","Sat Oct 15 23:55:03 GMT 2022","53202","","Diario AS proof of concept for Prisa","","Return to home from a football page","","Return to home from a football page",""
"passed","Sat Oct 15 23:55:28 GMT 2022","Sat Oct 15 23:55:54 GMT 2022","25212","","Diario AS proof of concept for Prisa","","Access to motor league news","","Access to motor league news",""
