"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 01:31:18 GMT 2022","Sun Oct 16 01:32:09 GMT 2022","50844","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Sun Oct 16 01:30:33 GMT 2022","Sun Oct 16 01:31:18 GMT 2022","44712","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Sun Oct 16 01:32:39 GMT 2022","Sun Oct 16 01:33:12 GMT 2022","32946","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Sun Oct 16 01:32:09 GMT 2022","Sun Oct 16 01:32:39 GMT 2022","30019","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
