"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 00:39:10 GMT 2022","Sun Oct 16 00:39:48 GMT 2022","37698","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Sun Oct 16 00:40:12 GMT 2022","Sun Oct 16 00:40:37 GMT 2022","24841","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Sun Oct 16 00:39:48 GMT 2022","Sun Oct 16 00:40:12 GMT 2022","24085","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Sun Oct 16 00:38:16 GMT 2022","Sun Oct 16 00:39:10 GMT 2022","54477","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
