"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 03:20:46 GMT 2022","Sun Oct 16 03:21:22 GMT 2022","36431","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Sun Oct 16 03:21:22 GMT 2022","Sun Oct 16 03:21:49 GMT 2022","26676","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Sun Oct 16 03:19:56 GMT 2022","Sun Oct 16 03:20:46 GMT 2022","50099","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Sun Oct 16 03:21:49 GMT 2022","Sun Oct 16 03:22:26 GMT 2022","36951","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
